count,card_name,image_url
4,Arcane Flight,https://cards.scryfall.io/png/front/0/9/09fbb1c0-ba57-4a5a-8ad6-77fbc6aeeec9.png?1562731106
4,Choked Estuary,https://cards.scryfall.io/png/front/e/9/e9ad18b2-1061-4893-9171-07ffe142a762.png?1706241137
4,Dokuchi Silencer,https://cards.scryfall.io/png/front/a/2/a24d5664-e214-466d-bb53-4e8f6f75a009.png?1654567127
4,Drowned Catacomb,https://cards.scryfall.io/png/front/0/7/07b4a6dd-0e2f-43be-93c6-7578c34a9443.png?1712354997
4,Ingenious Infiltrator,https://cards.scryfall.io/png/front/9/1/919cd266-b796-4a1c-937f-76b565c82495.png?1562202349
6,Island,https://cards.scryfall.io/png/front/9/4/947702ca-d065-4368-9f26-f859d4642cb6.png?1726286915
4,Mist-Syndicate Naga,https://cards.scryfall.io/png/front/6/5/65c8f074-e260-4f8e-85d1-1904ca928b51.png?1562201419
4,Nezumi Prowler,https://cards.scryfall.io/png/front/c/a/ca911e9a-bd04-4531-a81e-3485e9cbe89e.png?1654567351
4,Ornithopter,https://cards.scryfall.io/png/front/3/0/305078a5-ac18-4721-bba2-3434eba5b1cf.png?1691675959
4,Prosperous Thief,https://cards.scryfall.io/png/front/d/a/da3f683e-5a28-4ae7-b53b-851b957123ba.png?1654566901
4,Silver-Fur Master,https://cards.scryfall.io/png/front/c/a/cacc36d9-4c4b-43b2-a8b4-d265deb1e6b2.png?1654568620
4,Spell Pierce,https://cards.scryfall.io/png/front/3/5/35b8a9db-d126-4038-abb1-74dcc5b36136.png?1673147403
6,Swamp,https://cards.scryfall.io/png/front/3/c/3c51de66-a3ed-4ca9-befb-9813e96c4ade.png?1726286923
4,Thousand-Faced Shadow,https://cards.scryfall.io/png/front/8/9/89a698a5-f4ac-4b04-96dc-32e1eeef6ac7.png?1654567031
